name,short_url,address,road_address,mapx,mapy,insta_crawl,diora_info,hashtags,point_1,point_2,point_3,subway
콘웰,https://naver.me/G9t5sDIe,서울특별시 마포구 망원동 382-14 2층 콘웰커피,서울특별시 마포구 월드컵로15길 40 2층 콘웰커피,1269081589,375552225,"시나몬향 솔솔 빵 위에 바밤바맛 진한 달콤 아이스크림, 보늬밤까지! 🤎",블랙 앤 화이트의 널찍하고 시크한 공간에서 맛있는 디저트!,#시크함 #널찍함 #카공 #디저트맛집,1. 블랙앤화이트의 시크한 공간 분위기를 느껴보세요.,2. 예쁜 비주얼의 디저트를 맛보세요.,3. 콘센트가 있어 카공하기에도 좋습니다.,망원역
미크,https://naver.me/FiO4JlEB,서울특별시 송파구 송파동 15-3 1층 104호,서울특별시 송파구 송파대로 458 1층 104호,1271056036,375075274,"석촌에 위치한 시크한 느낌의 곳이에요. 카공하시는 분들도 많고, 데이트오신 분들도 많네요. 디저트도 맛있어보이길래 먹어봤는데, 생각보다도 더 맛있었어요.

#무화과피스타치오푸딩 

  저는 무화과랑 피스타치오 조합을 제일 좋아하는데, 이거 맛있더라구요. 피쵸크림이 생각보다 진한데, 꼬소한 맛에 안에 닐라웨이퍼도 달달한 계란과자맛 많이 나고 촉촉해요. 

  무화과도 엄청 싱싱해요. 중간중간 무화과 잼까지 있어서 더 짙은 가을맛을 느낄 수 있습니다. ","블랙, 화이트, 그레이의 널찍하고 시크한 공간에서 카공이나 데이트를 하며 맛있는 디저트! ",#시크함 #널찍함 # 카공 #데이트 #힙함,1. 널찍하고 블랙앤화이트의 시크한 공간이에요.,2. 화려한 비주얼의 디저트 종류가 매우 다양합니다.,3. 송리단길에 위치해 데이트에도 ,석촌역
우토포스,https://naver.me/x3jmJaCS,서울특별시 서초구 방배동 769-17 1층,서울특별시 서초구 방배로39길 42-7 1층,1269866729,374945134,"항상 궁금했던 곳인데, 방배동에서 보기 드문 힙한 카페입니다. 약간 서부 캘리포니아 바이브의 와일드하면서 자유분방한 느낌을 줘요. 

  특히나 여기 시그니처 메뉴가 #라임모히또라떼 길래, 서부에서 마시던 필즈커피의 민트모히또가 생각나 주문해봤어요. 

  모히또맛은 살짝만 솔솔 나는 느낌이라 저는 좀 더 진하면서도 커피랑 부드럽게 어우러졌으면 했지만, 처음 드셔보시는 분들한테는 나쁘지 않은 첫 시도가 될 것 같아요. 

  귀여운 시바견 푸우와 함께 방배동의 캘리포니아 즐기러 와보시는 것을 추천드립니다.","방배동에서 만나는 서부 캘리포니아 바이브의 힙한 카페! 시그니처 라임 모히또 라떼와 귀여운 시바견 푸우까지, 자유롭고 와일드한 감성을 느끼기에 딱 좋은 공간.",#방배동카페 #캘리포니아감성 #라임모히또라떼 #힙한카페 #시바견과함께,1. 와일드하면서도 자유분방함이 느껴지는 캘리포니아 서부 바이브를 느껴보세요. ,2. 실제 서부에서 마시던 필즈커피가 떠오르는 라임모히또 라떼를 놓치지 마세요.,3. 귀여운 시바견 푸우가 있어요.,구반포역
보케,https://naver.me/xI2v3VaE,서울특별시 서대문구 연희동 135-8 2층 좌측,서울특별시 서대문구 연희로 116 2층 좌측,1269320595,375680114,"올해 먹은 무화과 산도 중 원탑..! 꿀 무화과에 폭신한 우유식빵, 달달크림!","붉은색 바닥과 의자가 인상적인, 널찍한 미드센추리 감성 카페! 산도와 케이크 맛집",#산도맛집 #미드센추리 #널찍함 #카공 #케이크맛집,1. 붉은색 바닥과 의자로 독특한 분위기를 자아내요.,2. 네잎클로버 케이크와 산도 맛집입니다.,3. 미드센추리 가구들로 시크한 분위기예요.,*홍대입구역
페로몬,https://naver.me/FPe0K2e1,서울특별시 성동구 성수동1가 14-57 3층,서울특별시 성동구 상원2길 5 3층,1270495139,375459620,촉촉향긋한 얼그레이 밀크티맛 크림에 생무화과와 무화과잼!,"우드, 블랙, 실버의 시크한 공간에 유니크한 디저트의 성수동 카페!",#유니크 #디저트 #시크함 #블랙,1. 매우 유니크한 시그니처 머랭 치즈케이크를 놓치지 마세요.,"2. 우드, 블랙, 실버의 시크하고 깔끔한 분위기입니다.",,뚝섬역
클럼지베이커리,https://naver.me/5ne4j9Gw,서울특별시 용산구 한강로1가 231-11 1층,서울특별시 용산구 한강대로54길 31 1층,1269733957,375324772,산뜻한 라즈베리크림에 고소함이 진한 크럼블..! 카라멜로 감칠맛까지!,꾸덕 묵직하게 미국스러운 디저트를 파는 귀여운 베이커리!,#귀여움 #미국식 #디저트 #베이커리,1. 꾸덕 묵직한 시그니처 디저트를 놓치지 마세요.,2. 미국 베이커리 분위기의 공간입니다.,,삼각지역
크레뮤클럽,https://naver.me/55ydXhZJ,서울특별시 송파구 송파동 40 2층,서울특별시 송파구 백제고분로45길 21 2층,1271091832,375098554,짙은 말차맛 푸딩과 달코옴한 바밤바맛 크림 + 무화과!,블랙앤화이트 널찍한 송리단길 카페! 데이트에 제격인 다양한 디저트와 시크한 공간,#블랙앤화이트 #시크함 #널찍함 #디저트 #데이트,1. 전체적으로 블랙앤화이트로 시크한 분위기예요.,"2. 치즈케이크, 프렌치토스트 등 다양한 디저트를 놓치지 마세요.",3. 널찍해서 카공으로도 좋고 혼카페도 좋아요.,송파나루역
고로커피로스터스,https://naver.me/5AcvWbmb,서울특별시 관악구 봉천동 100-137,서울특별시 관악구 남부순환로231길 33,1269579439,374807574,찐한 흑임자 크림과 바닐라크림! 작년 무화과 케이크 1등!,"따뜻한 우드톤 공간에서 맛있는 디저트, 커피맛집!",#따뜻함 #우드톤 #디저트 #커피맛집,1. 전체적인 우드톤은 따뜻한 느낌을 줍니다.,"2. 커피맛집으로, 다양한 원두를 맛보세요.",3. 시즌 디저트도 맛집입니다.,서울대입구역
오드커피숍,https://naver.me/GlJHapPe,서울특별시 광진구 자양동 223-27 1층 101호,서울특별시 광진구 아차산로40길 27 1층 101호,1270782971,375364055,"건대 쪽에서 카페갈 때 강력 추천하게 될 것 같은 곳이에요. 로컬분들이 많이 오시는 이유가 있네요. 작은 공간이지만 편안하고 따뜻함이 묻어나는 곳입니다.

사장님도 정말 친절하신 분이라는 게 느껴져요. 소품 하나하나 알차게 꾸며놓으신 것 같아요. 레트로하면서도 자유분방한 힙한 분위기입니다.

#오드토스트

바삭하게 구운 토스트 위에 코코아 같은 부드러운 초코크림을 올리고, 소금을 살짝 더해 단짠이에요. 달달향긋한 바닐라 아이스크림이랑 시원하게 잘 어울리고, 로투스 같은 맛의 크럼블도 매력입니다.

#브루잉

브루잉은 온두라스 누베스 아술레스 파라이네마 워시드를 마셨는데, 리치하고 실키한 맛이 좋았어요.

워시드라서 엄청 무겁진 않았지만, 그래도 굳이 추천하자면 오드 토스트와는 좀 더 라이트하게 즐길 수 있는 에티오피아 원두들이 더 잘 어울릴 것 같긴 해요.","건대에서 꼭 가봐야 할 힙하고 레트로한 감성 카페! 달콤짭짤한 오드 토스트와 풍미 깊은 브루잉 커피가 매력적이며, 소박하지만 따뜻함이 가득한 공간.",#아담함 #편안함 #따뜻함 #힙한레트로 #브루잉커피 #로컬,1.아담하고 따뜻해서 편안한 공간이에요.,2. 레트로하면서도 자유분방하고 힙한 분위기입니다.,3. 친절하신 사장님과 손님들이 함께 만들어나가는 카페입니다.,*구의역
필리커피,https://naver.me/xoHH9Mk4,"서울특별시 마포구 망원동 517 101동 1-021, 022호","서울특별시 마포구 월드컵로25길 26 101동 1-021, 022호",1269058726,375581922,"망원에 있는 엘에이 바이브의 카페, 필리커피예요. 우드톤과 햇살로 따뜻함이 느껴지고, 외부 좌석들까지 있어 더 이국적이에요. 제가 본 강아지 중에 최고로 귀여운 포포 사장님도 가끔 나오십니다.

#피스타치오무화과푸딩

부드러운 고소함의 피스타치오 푸딩에 달달한 무화과 가득 들어 맛있는 푸딩이에요.

피스타치오맛이 엄청 진하기보단 닐라웨이퍼 달달한 맛이 느껴지는 부드러운 피스타치오 푸딩이었어요. 피쵸 덕후입장에선 살짝 아숩긴 했지만, 부드러운 맛이 무화과랑은 잘 어울리는 것 같아요.","망원에서 만나는 따뜻한 엘에이 바이브 카페, 필리커피! 달콤하고 부드러운 피스타치오 무화과 푸딩과 귀여운 포포 사장님 덕분에 힐링 가득한 시간.",#따뜻함 #햇살 #피스타치오푸딩 #힐링카페 #엘에이바이브,1. 엘에이가 떠오르는 분위기에 외부 좌석까지 있어 이국적이에요.,2. 따뜻한 우드톤에 햇살이 들어올 때 더 예쁜 공간이에요.,3. 겁 많지만 귀여운 강아지 포포도 가끔 매장을 지킨답니다.,망원역
필담,https://naver.me/5JpQhcwL,서울특별시 마포구 망원동 384-45,서울특별시 마포구 동교로 55,1269083810,375533287,"연속체 시절부터 와보고 싶었던 곳인데, 필담일 때 와보게 되었네요. 제가 좋아하는 짙은 농도의 감각적인 공간입니다.

조도가 낮아 차분한 느낌을 주고, 책장을 가득 메운 책들과 창가로 보이는 초록뷰는 여름을 떠올리게 해요.

조용조용한 분위기 속에, 망원에서 힐링할 수 있는 힐링 스팟이라고 하겠습니다.","망원의 차분하고 감각적인 힐링 스팟, 필담. 낮은 조도와 초록뷰, 책장 가득한 분위기가 여름의 편안함을 떠올리게 하는 공간.",#낮은조도 #차분함 #책 #감각적 #힐링 #커피맛집,1. 아이유의 밤편지가 떠오르는 차분하고 감성적인 공간이에요.,2. 조용하고 조도가 낮아 저녁에 가면 좋은 곳입니다.,"3. 책장을 가득 메운 책들과 창가로 보이는 초록뷰로, 독서나 혼카페하기 좋아요.",망원역
지엠엘,https://naver.me/Fy2YhIGq,서울특별시 용산구 한남동 729-15 3층,서울특별시 용산구 한남대로27가길 22 3층,1270028012,375377645,"원두 편집샵이라는 컨셉을 가장 잘 풀고 있는 곳이라고 생각되는, 한남동의 gml이에요.

여기엔 편집샵이 즐비해있는 한남동이라는 배경도 큰 몫을 한 것 같지만, 여러 컨셉적인 부분들과 디테일한 부분들에서의 차이가 성공적인 원두 편집샵의 등장을 만들어낸 것 같아요.

#커피그라니따

매니저님이 밀크브루로 맛보게 해주셨던 코코봉고 원두로 만든 그라니따예요.

사실 멜론도는 밀크브루로 먹기는 아깝고 깔끔한 핸드드립으로 즐기는 게 좋다고 생각했던 원두인 반면, 코코봉고는 부드러운 코코넛 느낌이 있어서 밀크브루가 더 잘 어울린다고 생각했었거든요.

근데 이걸로 그라니따를 만드셨으니, 아주 딱 어울립니다. 커피 얼음은 사각하면서, 속에는 밀크쉐이크처럼 아마 밀크브루를 얼리신 게 아닐까 싶은데, 2중인 것도 유니크해요.

gml 크림은 처음 먹어보는데 크림도 정말 맛있네요. 커피맛집 = 크림맛집이란 공식은 오늘도 깨지지 않습니다. 달콤하면서 촉촉하고 부드러운 아인슈페너용 크림 같아요.

#망고치즈케이크 (다쿠아즈)

코코넛다쿠아즈가 참 매력적이에요. 코코넛채처럼 씹히는 질감이 있고, 부드러운 치즈크림에, 망고는 생망고 느낌보다는 망고칩을 불린(?) 것 같은 맛인데 아마 조금 달달해서 그런 것 같아요.

브륄레 깨먹는 재미가 있어요. 개인적으론 딸기가 조금 더 맛있었던 것 같긴 합니다.","한남동의 원두 편집샵, gml은 세심한 디테일로 감각적인 커피 경험을 선사하는 공간! 다양하고 독특한 원두와 디저트가 돋보이는 커피 맛집.",#원두편집샵 #커피맛집 #다양한메뉴 #디저트 #세심함 #디테일 ,"1. 원두 편집샵이라는 독특한 컨셉으로, 다양한 퀄리티 있는 커피를 맛볼 수 있습니다.",2. 우드와 실버의 깔끔하고 세련된 인테리어는 한남동과 잘 어울립니다.,"3. 한남의 편집샵에서 쇼핑을 하고, 커피도 원두 편집샵에서 드셔보시는 경험을 해보세요.",한강진역
